method,theoretical_order,k,h_coarse,h_fine,approximation,true_error,p_true,p_observed,estimated_error,richardson,richardson_true_error,status
forward_naive,1,1,0.5,0.125,1.0651876245346106,0.06518762453461058,1.0620147258469856,1.1859687424686973,0.05561182724378343,1.0095757972908272,0.009575797290827248,ok
forward_stable,1,1,0.5,0.125,1.0651876245346106,0.06518762453461058,1.0620147258469903,1.185968742468684,0.05561182724378468,1.0095757972908261,0.009575797290826138,ok
central_naive,2,1,0.5,0.125,1.0026062019289235,0.0026062019289234684,2.0033810015616056,2.0168736873803725,0.002573979271553783,1.0000322226573697,3.222265736968488e-05,ok
central_stable,2,1,0.5,0.125,1.0026062019289237,0.0026062019289236904,2.0033810015615137,2.0168736873803623,0.0025739792715538078,1.00003222265737,3.2222657369906926e-05,ok
forward_naive,1,2,0.25,0.0625,1.0319113426857491,0.03191134268574913,1.0305287917517152,1.0915770926808404,0.029420213181473254,1.0024911295042758,0.0024911295042757686,ok
forward_stable,1,2,0.25,0.0625,1.031911342685751,0.03191134268575091,1.0305287917516348,1.0915770926809263,0.02942021318146838,1.0024911295042827,0.002491129504282652,ok
central_naive,2,2,0.25,0.0625,1.000651168835068,0.0006511688350681055,2.000845309465402,2.0042245838035146,0.0006491395192517724,1.0000020293158165,2.029315816498567e-06,ok
central_stable,2,2,0.25,0.0625,1.0006511688350692,0.0006511688350692157,2.0008453094630654,2.00422458380417,0.0006491395192510846,1.0000020293158183,2.029315818274924e-06,ok
forward_naive,1,3,0.125,0.03125,1.0157890399712883,0.015789039971288332,1.0151458590382894,1.0454364261662816,0.015152673486436067,1.0006363664848523,0.0006363664848523243,ok
forward_stable,1,3,0.125,0.03125,1.0157890399712854,0.015789039971285446,1.0151458590386333,1.0454364261657874,0.015152673486450519,1.0006363664848348,0.0006363664848347828,ok
central_naive,2,3,0.125,0.03125,1.000162768364138,0.00016276836413808837,2.0002113310446363,2.0010565324563623,0.00016264128881088194,1.0000001270753271,1.2707532714983927e-07,ok
central_stable,2,3,0.125,0.03125,1.0001627683641374,0.00016276836413742224,2.0002113310530003,2.0010565324504594,0.00016264128881236052,1.0000001270753252,1.2707532515143782e-07,ok
forward_naive,1,4,0.0625,0.015625,1.0078533495478865,0.007853349547886523,1.007543435838042,1.0226301642342324,0.007692459378447606,1.0001608901694388,0.00016089016943876544,ok
forward_stable,1,4,0.0625,0.015625,1.0078533495478879,0.007853349547887856,1.0075434358375335,1.0226301642354167,0.0076924593784310795,1.0001608901694568,0.00016089016945675105,ok
central_naive,2,4,0.0625,0.015625,1.0000406906008728,4.069060087275034e-05,2.0000528330766185,2.0002641572519244,4.068265486154263e-05,1.0000000079460112,7.946011182369261e-09,ok
central_stable,2,4,0.0625,0.015625,1.000040690600875,4.0690600874970784e-05,2.0000528329919876,2.000264157291285,4.068265485910086e-05,1.000000007946016,7.94601606735057e-09,ok
forward_naive,1,5,0.03125,0.0078125,1.00391644242535,0.003916442425349942,1.003764362197443,1.0112930687347361,0.003875988400803228,1.0000404540245467,4.045402454666558e-05,ok
forward_stable,1,5,0.03125,0.0078125,1.0039164424253413,0.003916442425341282,1.0037643622008778,1.0112930687303077,0.003875988400836677,1.0000404540245045,4.0454024504477104e-05,ok
